"특별법범 (건)",옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,소계,140,24,4,3,8,-,4,2,-,54,3,1,4,-,3,2,24,4
"특별법범 (건)",외국환거래법,소계,246,90,9,6,89,5,-,3,1,28,-,1,4,-,2,1,5,2
"특별법범 (건)",위험물 안전관리법,소계,596,7,6,26,40,5,7,18,1,254,24,26,36,78,23,25,20,-
"특별법범 (건)",유사수신행위의 규제에 관한법률,소계,558,244,39,17,10,19,20,6,-,72,6,20,9,17,8,10,59,2
"특별법범 (건)",의료기기법,소계,286,119,20,14,12,9,13,2,-,63,5,7,3,5,1,2,10,1
"특별법범 (건)",의료법,소계,2508,692,214,69,118,113,52,35,11,661,61,52,77,57,54,72,150,20
"특별법범 (건)",자동차관리법,소계,28517,6838,3002,1595,1536,1102,518,327,120,7042,504,831,905,952,498,869,1766,112
"특별법범 (건)",자동차 손해배상 보장법,소계,16593,1480,1231,726,1027,424,362,361,74,4256,373,910,1020,1149,613,1327,1166,94
"특별법범 (건)",자본시장과 금융투자업에 관한법률,소계,468,285,8,16,15,7,7,1,-,69,32,1,4,9,-,4,9,1
"특별법범 (건)",저작권법,소계,6514,1710,442,270,433,129,274,45,43,1916,133,116,161,143,104,224,329,42
"특별법범 (건)",전자금융거래법,소계,7194,1259,571,323,441,174,282,129,24,1864,200,192,249,226,203,394,538,125
"특별법범 (건)",전파법,소계,1380,126,55,39,-,24,22,5,-,4,14,18,1,16,-,972,1,83
"특별법범 (건)",정보통신망이용촉진 및 정보보호 등에 관한법률,소계,18651,5693,1128,540,1139,352,467,151,89,5387,342,380,483,404,388,587,893,228
"특별법범 (건)",조세범처벌법,소계,2061,526,118,94,120,72,48,28,8,553,18,50,68,69,43,76,163,7
"특별법범 (건)",주민등록법,소계,1599,291,140,103,108,39,35,18,8,415,36,56,54,75,60,40,108,13
"특별법범 (건)",주차장법,소계,73,34,1,4,1,-,1,2,-,5,-,1,3,-,1,-,1,19
"특별법범 (건)",주택법,소계,760,69,66,55,109,23,9,13,4,233,4,24,8,60,50,6,23,4
"특별법범 (건)",직업안정법,소계,148,26,4,11,2,6,7,2,1,21,3,3,17,3,18,5,16,3
"특별법범 (건)",집회 및 시위에 관한법률,소계,307,175,14,5,8,7,2,10,-,29,11,3,10,2,2,7,20,2
"특별법범 (건)",청소년보호법,소계,5021,701,299,224,281,198,198,77,40,1056,157,189,240,240,228,296,522,75
"특별법범 (건)",총포·도검·화약류등의 안전관리에 관한법률,소계,348,86,24,31,17,9,2,3,1,66,12,22,9,21,14,7,10,14
"특별법범 (건)",최저임금법,소계,674,111,84,79,-,25,-,14,-,171,14,14,32,27,14,33,56,-
"특별법범 (건)",축산물 위생관리법,소계,283,40,19,34,18,2,12,2,-,73,3,13,14,11,3,11,27,1
"특별법범 (건)",출입국관리법,소계,1346,157,69,73,105,39,10,19,2,365,22,72,89,50,78,56,98,42
"특별법범 (건)",통신비밀 보호법,소계,295,80,18,12,16,14,10,5,3,49,9,8,10,15,8,15,20,3
"특별법범 (건)",특가법(도주차량),소계,8840,976,573,552,987,279,213,121,22,2520,250,229,412,293,354,513,448,98
"특별법범 (건)",특허법,소계,142,24,2,5,9,-,56,3,-,31,3,1,3,1,1,-,2,1
"특별법범 (건)",폐기물관리법,소계,2206,63,64,61,45,39,19,35,1,873,54,115,107,108,93,227,295,7
"특별법범 (건)",풍속영업의 규제에 관한법률,소계,66,19,7,3,6,-,2,1,-,24,-,1,-,-,-,-,3,-
"특별법범 (건)",하천법,소계,1795,3,333,-,-,1,2,8,-,56,32,6,2,12,2,1317,21,-
"특별법범 (건)",학교보건법,소계,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범 (건)",학원의 설립운영 및 과외교습에 관한법률,소계,380,68,28,39,12,4,30,3,1,85,5,3,13,6,29,14,34,6
"특별법범 (건)",화물자동차 운수 사업법,소계,3079,295,58,34,72,16,33,17,4,2344,20,16,22,23,34,15,68,8
"특별법범 (건)",화재로 인한 재해보상과 보험가입에 관한법률,소계,39,-,1,2,6,-,1,1,-,4,1,6,12,1,2,1,1,-
"특별법범 (건)",화재예방·소방시설설치유지 및 안전관리에 관한법률,소계,517,67,16,12,53,17,4,8,1,187,16,12,45,37,10,7,25,-
"특별법범 (건)",화학물질관리법,소계,612,152,12,14,33,39,19,70,-,134,14,25,10,7,10,4,67,2
"특별법범 (건)",기타특별법,소계,58456,7145,5487,1208,6135,830,923,1516,145,9669,3140,1270,1987,2949,6895,3750,4707,700
